Circuit delay: 4986.22 ps

Gate slacks:
AND-840: 1212.53 ps
AND-843: 1420.74 ps
AND-846: 1628.94 ps
AND-849: 1837.14 ps
AND-852: 2045.34 ps
AND-855: 2253.54 ps
AND-858: 2461.74 ps
AND-861: 2669.94 ps
AND-864: 2967.51 ps
AND-867: 3292.86 ps
AND-870: 3618.29 ps
AND-873: 3943.71 ps
AND-876: 4269.14 ps
AND-879: 707.62 ps
AND-882: 770.023 ps
AND-885: 978.216 ps
AND-888: 1186.42 ps
AND-891: 1394.62 ps
AND-894: 1602.82 ps
AND-897: 1811.02 ps
AND-900: 2019.22 ps
AND-903: 2227.42 ps
AND-906: 2435.62 ps
AND-909: 2733.19 ps
AND-912: 3058.54 ps
AND-915: 3383.97 ps
AND-918: 3709.4 ps
AND-921: 4034.82 ps
AND-924: 4360.25 ps
AND-927: 681.504 ps
AND-930: 743.906 ps
AND-933: 952.099 ps
AND-936: 1160.3 ps
AND-939: 1368.5 ps
AND-942: 1576.7 ps
AND-945: 1784.9 ps
AND-948: 1993.11 ps
AND-951: 2201.31 ps
AND-954: 2498.87 ps
AND-957: 2824.23 ps
AND-960: 3149.65 ps
AND-963: 3475.08 ps
AND-966: 3800.5 ps
AND-969: 4125.93 ps
AND-972: 4451.35 ps
AND-975: 655.387 ps
AND-978: 717.789 ps
AND-981: 925.983 ps
AND-984: 1134.18 ps
AND-987: 1342.39 ps
AND-990: 1550.59 ps
AND-993: 1758.79 ps
AND-996: 1966.99 ps
AND-999: 2264.56 ps
AND-1002: 2589.91 ps
AND-1005: 2915.33 ps
AND-1008: 3240.76 ps
AND-1011: 3566.18 ps
AND-1014: 3891.61 ps
AND-1017: 4217.04 ps
AND-1020: 4542.46 ps
AND-1023: 629.27 ps
AND-1026: 691.673 ps
AND-1029: 899.866 ps
AND-1032: 1108.07 ps
AND-1035: 1316.27 ps
AND-1038: 1524.47 ps
AND-1041: 1732.67 ps
AND-1044: 2030.24 ps
AND-1047: 2355.59 ps
AND-1050: 2681.02 ps
AND-1053: 3006.44 ps
AND-1056: 3331.87 ps
AND-1059: 3657.29 ps
AND-1062: 3982.72 ps
AND-1065: 4308.14 ps
AND-1068: 4633.57 ps
AND-1071: 603.154 ps
AND-1074: 665.556 ps
AND-1077: 873.749 ps
AND-1080: 1081.95 ps
AND-1083: 1290.15 ps
AND-1086: 1498.35 ps
AND-1089: 1795.92 ps
AND-1092: 2121.27 ps
AND-1095: 2446.7 ps
AND-1098: 2772.12 ps
AND-1101: 3097.55 ps
AND-1104: 3422.97 ps
AND-1107: 3748.4 ps
AND-1110: 4073.83 ps
AND-1113: 4399.25 ps
AND-1116: 4724.68 ps
AND-1119: 577.037 ps
AND-1122: 639.439 ps
AND-1125: 847.633 ps
AND-1128: 1055.83 ps
AND-1131: 1264.04 ps
AND-1134: 1561.6 ps
AND-1137: 1886.96 ps
AND-1140: 2212.38 ps
AND-1143: 2537.81 ps
AND-1146: 2863.23 ps
AND-1149: 3188.66 ps
AND-1152: 3514.08 ps
AND-1155: 3839.51 ps
AND-1158: 4164.93 ps
AND-1161: 4490.36 ps
AND-1164: 4815.78 ps
AND-1167: 550.92 ps
AND-1170: 613.323 ps
AND-1173: 821.516 ps
AND-1176: 1029.72 ps
AND-1179: 1327.29 ps
AND-1182: 1652.64 ps
AND-1185: 1978.06 ps
AND-1188: 2303.49 ps
AND-1191: 2628.91 ps
AND-1194: 2954.34 ps
AND-1197: 3279.76 ps
AND-1200: 3605.19 ps
AND-1203: 3930.62 ps
AND-1206: 4256.04 ps
AND-1209: 4581.47 ps
AND-1212: 4906.89 ps
AND-1215: 524.804 ps
AND-1218: 587.141 ps
AND-1221: 795.399 ps
AND-1224: 1092.97 ps
AND-1227: 1418.32 ps
AND-1230: 1743.74 ps
AND-1233: 2069.17 ps
AND-1236: 2394.6 ps
AND-1239: 2720.02 ps
AND-1242: 3045.45 ps
AND-1245: 3370.87 ps
AND-1248: 3696.3 ps
AND-1251: 4021.72 ps
AND-1254: 4347.15 ps
AND-1257: 4672.57 ps
AND-1260: 4998 ps
AND-1263: 498.622 ps
AND-1266: 678.176 ps
AND-1269: 975.744 ps
AND-1272: 1301.1 ps
AND-1275: 1626.52 ps
AND-1278: 1951.95 ps
AND-1281: 2277.37 ps
AND-1284: 2602.8 ps
AND-1287: 2928.22 ps
AND-1290: 3253.65 ps
AND-1293: 3579.07 ps
AND-1296: 3904.5 ps
AND-1299: 4229.93 ps
AND-1302: 4555.35 ps
AND-1305: 4880.78 ps
AND-1308: 5206.2 ps
NOT-1311: 864.32 ps
NOT-1315: 838.204 ps
NOT-1319: 812.087 ps
NOT-1323: 785.97 ps
NOT-1327: 759.854 ps
NOT-1331: 733.737 ps
NOT-1335: 707.62 ps
NOT-1339: 681.504 ps
NOT-1343: 655.387 ps
NOT-1347: 629.27 ps
NOT-1351: 603.154 ps
NOT-1355: 577.037 ps
NOT-1359: 550.92 ps
NOT-1363: 524.804 ps
NOT-1367: 498.622 ps
NOR-1371: 864.32 ps
NOT-1372: 877.883 ps
NOR-1373: 838.204 ps
NOT-1374: 851.766 ps
NOR-1375: 812.087 ps
NOT-1376: 825.65 ps
NOR-1377: 785.97 ps
NOT-1378: 799.533 ps
NOR-1379: 759.854 ps
NOT-1380: 773.416 ps
NOR-1381: 733.737 ps
NOT-1382: 747.3 ps
NOR-1383: 707.62 ps
NOT-1384: 721.183 ps
NOR-1385: 681.504 ps
NOT-1386: 695.066 ps
NOR-1387: 655.387 ps
NOT-1388: 668.95 ps
NOR-1389: 629.27 ps
NOT-1390: 642.833 ps
NOR-1391: 603.154 ps
NOT-1392: 616.716 ps
NOR-1393: 577.037 ps
NOT-1394: 590.599 ps
NOR-1395: 550.92 ps
NOT-1396: 564.483 ps
NOR-1397: 524.804 ps
NOT-1398: 538.366 ps
NOR-1399: 498.622 ps
NOT-1400: 512.185 ps
NOR-1401: 864.32 ps
NOR-1404: 838.204 ps
NOR-1407: 812.087 ps
NOR-1410: 785.97 ps
NOR-1413: 759.854 ps
NOR-1416: 733.737 ps
NOR-1419: 707.62 ps
NOR-1422: 681.504 ps
NOR-1425: 655.387 ps
NOR-1428: 629.27 ps
NOR-1431: 603.154 ps
NOR-1434: 577.037 ps
NOR-1437: 550.92 ps
NOR-1440: 524.804 ps
NOR-1443: 498.622 ps
NOR-1446: 864.32 ps
NOR-1450: 838.204 ps
NOR-1454: 812.087 ps
NOR-1458: 785.97 ps
NOR-1462: 759.854 ps
NOR-1466: 733.737 ps
NOR-1470: 707.62 ps
NOR-1474: 681.504 ps
NOR-1478: 655.387 ps
NOR-1482: 629.27 ps
NOR-1486: 603.154 ps
NOR-1490: 577.037 ps
NOR-1494: 550.92 ps
NOR-1498: 524.804 ps
NOR-1502: 498.622 ps
NOR-1506: 5234.98 ps
NOR-1507: 5234.98 ps
NOR-1508: 864.32 ps
NOR-1511: 838.204 ps
NOR-1512: 838.204 ps
NOR-1513: 838.204 ps
NOR-1516: 812.087 ps
NOR-1517: 812.087 ps
NOR-1518: 812.087 ps
NOR-1521: 785.97 ps
NOR-1522: 785.97 ps
NOR-1523: 785.97 ps
NOR-1526: 759.854 ps
NOR-1527: 759.854 ps
NOR-1528: 759.854 ps
NOR-1531: 733.737 ps
NOR-1532: 733.737 ps
NOR-1533: 733.737 ps
NOR-1536: 707.62 ps
NOR-1537: 707.62 ps
NOR-1538: 707.62 ps
NOR-1541: 681.504 ps
NOR-1542: 681.504 ps
NOR-1543: 681.504 ps
NOR-1546: 655.387 ps
NOR-1547: 655.387 ps
NOR-1548: 655.387 ps
NOR-1551: 629.27 ps
NOR-1552: 629.27 ps
NOR-1553: 629.27 ps
NOR-1556: 603.154 ps
NOR-1557: 603.154 ps
NOR-1558: 603.154 ps
NOR-1561: 577.037 ps
NOR-1562: 577.037 ps
NOR-1563: 577.037 ps
NOR-1566: 550.92 ps
NOR-1567: 550.92 ps
NOR-1568: 550.92 ps
NOR-1571: 524.804 ps
NOR-1572: 524.804 ps
NOR-1573: 524.804 ps
NOR-1576: 498.687 ps
NOR-1577: 498.687 ps
NOR-1578: 498.622 ps
NOR-1581: 5234.98 ps
NOR-1582: 838.204 ps
NOR-1585: 812.087 ps
NOR-1588: 785.97 ps
NOR-1591: 759.854 ps
NOR-1594: 733.737 ps
NOR-1597: 707.62 ps
NOR-1600: 681.504 ps
NOR-1603: 655.387 ps
NOR-1606: 629.27 ps
NOR-1609: 603.154 ps
NOR-1612: 577.037 ps
NOR-1615: 550.92 ps
NOR-1618: 524.804 ps
NOR-1621: 498.687 ps
NOR-1624: 498.622 ps
NOR-1628: 838.204 ps
NOR-1632: 812.087 ps
NOR-1636: 785.97 ps
NOR-1640: 759.854 ps
NOR-1644: 733.737 ps
NOR-1648: 707.62 ps
NOR-1652: 681.504 ps
NOR-1656: 655.387 ps
NOR-1660: 629.27 ps
NOR-1664: 603.154 ps
NOR-1668: 577.037 ps
NOR-1672: 550.92 ps
NOR-1676: 524.804 ps
NOR-1680: 498.687 ps
NOR-1684: 498.622 ps
NOR-1685: 498.622 ps
NOR-1686: 838.204 ps
NOR-1687: 838.204 ps
NOR-1688: 812.087 ps
NOR-1689: 812.087 ps
NOR-1690: 785.97 ps
NOR-1691: 785.97 ps
NOR-1692: 759.854 ps
NOR-1693: 759.854 ps
NOR-1694: 733.737 ps
NOR-1695: 733.737 ps
NOR-1696: 707.62 ps
NOR-1697: 707.62 ps
NOR-1698: 681.504 ps
NOR-1699: 681.504 ps
NOR-1700: 655.387 ps
NOR-1701: 655.387 ps
NOR-1702: 629.27 ps
NOR-1703: 629.27 ps
NOR-1704: 603.154 ps
NOR-1705: 603.154 ps
NOR-1706: 577.037 ps
NOR-1707: 577.037 ps
NOR-1708: 550.92 ps
NOR-1709: 550.92 ps
NOR-1710: 524.804 ps
NOR-1711: 524.804 ps
NOR-1712: 498.687 ps
NOR-1713: 498.687 ps
NOR-1714: 498.622 ps
NOR-1717: 838.204 ps
NOR-1720: 812.087 ps
NOR-1723: 785.97 ps
NOR-1726: 759.854 ps
NOR-1729: 733.737 ps
NOR-1732: 707.62 ps
NOR-1735: 681.504 ps
NOR-1738: 655.387 ps
NOR-1741: 629.27 ps
NOR-1744: 603.154 ps
NOR-1747: 577.037 ps
NOR-1750: 550.92 ps
NOR-1753: 524.804 ps
NOR-1756: 498.687 ps
NOR-1759: 498.622 ps
NOR-1763: 838.204 ps
NOR-1767: 812.087 ps
NOR-1771: 785.97 ps
NOR-1775: 759.854 ps
NOR-1779: 733.737 ps
NOR-1783: 707.62 ps
NOR-1787: 681.504 ps
NOR-1791: 655.387 ps
NOR-1795: 629.27 ps
NOR-1799: 603.154 ps
NOR-1803: 577.037 ps
NOR-1807: 550.92 ps
NOR-1811: 524.804 ps
NOR-1815: 498.687 ps
NOR-1819: 498.622 ps
NOR-1820: 498.622 ps
NOR-1821: 587.924 ps
NOR-1824: 5000.66 ps
NOR-1825: 5000.66 ps
NOR-1826: 838.204 ps
NOR-1829: 812.087 ps
NOR-1830: 812.087 ps
NOR-1831: 812.087 ps
NOR-1834: 785.97 ps
NOR-1835: 785.97 ps
NOR-1836: 785.97 ps
NOR-1839: 759.854 ps
NOR-1840: 759.854 ps
NOR-1841: 759.854 ps
NOR-1844: 733.737 ps
NOR-1845: 733.737 ps
NOR-1846: 733.737 ps
NOR-1849: 707.62 ps
NOR-1850: 707.62 ps
NOR-1851: 707.62 ps
NOR-1854: 681.504 ps
NOR-1855: 681.504 ps
NOR-1856: 681.504 ps
NOR-1859: 655.387 ps
NOR-1860: 655.387 ps
NOR-1861: 655.387 ps
NOR-1864: 629.27 ps
NOR-1865: 629.27 ps
NOR-1866: 629.27 ps
NOR-1869: 603.154 ps
NOR-1870: 603.154 ps
NOR-1871: 603.154 ps
NOR-1874: 577.037 ps
NOR-1875: 577.037 ps
NOR-1876: 577.037 ps
NOR-1879: 550.92 ps
NOR-1880: 550.92 ps
NOR-1881: 550.92 ps
NOR-1884: 524.804 ps
NOR-1885: 524.804 ps
NOR-1886: 524.804 ps
NOR-1889: 498.687 ps
NOR-1890: 498.687 ps
NOR-1891: 498.687 ps
NOR-1894: 498.622 ps
NOR-1897: 587.924 ps
NOR-1901: 5000.66 ps
NOR-1902: 812.087 ps
NOR-1905: 785.97 ps
NOR-1908: 759.854 ps
NOR-1911: 733.737 ps
NOR-1914: 707.62 ps
NOR-1917: 681.504 ps
NOR-1920: 655.387 ps
NOR-1923: 629.27 ps
NOR-1926: 603.154 ps
NOR-1929: 577.037 ps
NOR-1932: 550.92 ps
NOR-1935: 524.804 ps
NOR-1938: 498.687 ps
NOR-1941: 498.622 ps
NOR-1945: 587.924 ps
NOR-1946: 587.924 ps
NOR-1947: 812.087 ps
NOR-1951: 785.97 ps
NOR-1955: 759.854 ps
NOR-1959: 733.737 ps
NOR-1963: 707.62 ps
NOR-1967: 681.504 ps
NOR-1971: 655.387 ps
NOR-1975: 629.27 ps
NOR-1979: 603.154 ps
NOR-1983: 577.037 ps
NOR-1987: 550.92 ps
NOR-1991: 524.804 ps
NOR-1995: 498.687 ps
NOR-1999: 498.622 ps
NOR-2000: 498.622 ps
NOR-2001: 587.924 ps
NOR-2004: 812.087 ps
NOR-2005: 812.087 ps
NOR-2006: 785.97 ps
NOR-2007: 785.97 ps
NOR-2008: 759.854 ps
NOR-2009: 759.854 ps
NOR-2010: 733.737 ps
NOR-2011: 733.737 ps
NOR-2012: 707.62 ps
NOR-2013: 707.62 ps
NOR-2014: 681.504 ps
NOR-2015: 681.504 ps
NOR-2016: 655.387 ps
NOR-2017: 655.387 ps
NOR-2018: 629.27 ps
NOR-2019: 629.27 ps
NOR-2020: 603.154 ps
NOR-2021: 603.154 ps
NOR-2022: 577.037 ps
NOR-2023: 577.037 ps
NOR-2024: 550.92 ps
NOR-2025: 550.92 ps
NOR-2026: 524.804 ps
NOR-2027: 524.804 ps
NOR-2028: 498.687 ps
NOR-2029: 498.687 ps
NOR-2030: 498.622 ps
NOR-2033: 587.924 ps
NOR-2037: 812.087 ps
NOR-2040: 785.97 ps
NOR-2043: 759.854 ps
NOR-2046: 733.737 ps
NOR-2049: 707.62 ps
NOR-2052: 681.504 ps
NOR-2055: 655.387 ps
NOR-2058: 629.27 ps
NOR-2061: 603.154 ps
NOR-2064: 577.037 ps
NOR-2067: 550.92 ps
NOR-2070: 524.804 ps
NOR-2073: 498.687 ps
NOR-2076: 498.622 ps
NOR-2080: 587.924 ps
NOR-2081: 587.924 ps
NOR-2082: 705.01 ps
NOR-2085: 812.087 ps
NOR-2089: 785.97 ps
NOR-2093: 759.854 ps
NOR-2097: 733.737 ps
NOR-2101: 707.62 ps
NOR-2105: 681.504 ps
NOR-2109: 655.387 ps
NOR-2113: 629.27 ps
NOR-2117: 603.154 ps
NOR-2121: 577.037 ps
NOR-2125: 550.92 ps
NOR-2129: 524.804 ps
NOR-2133: 498.687 ps
NOR-2137: 498.622 ps
NOR-2138: 498.622 ps
NOR-2139: 587.989 ps
NOR-2142: 587.924 ps
NOR-2145: 705.01 ps
NOR-2149: 4766.34 ps
NOR-2150: 4766.34 ps
NOR-2151: 812.087 ps
NOR-2154: 785.97 ps
NOR-2155: 785.97 ps
NOR-2156: 785.97 ps
NOR-2159: 759.854 ps
NOR-2160: 759.854 ps
NOR-2161: 759.854 ps
NOR-2164: 733.737 ps
NOR-2165: 733.737 ps
NOR-2166: 733.737 ps
NOR-2169: 707.62 ps
NOR-2170: 707.62 ps
NOR-2171: 707.62 ps
NOR-2174: 681.504 ps
NOR-2175: 681.504 ps
NOR-2176: 681.504 ps
NOR-2179: 655.387 ps
NOR-2180: 655.387 ps
NOR-2181: 655.387 ps
NOR-2184: 629.27 ps
NOR-2185: 629.27 ps
NOR-2186: 629.27 ps
NOR-2189: 603.154 ps
NOR-2190: 603.154 ps
NOR-2191: 603.154 ps
NOR-2194: 577.037 ps
NOR-2195: 577.037 ps
NOR-2196: 577.037 ps
NOR-2199: 550.92 ps
NOR-2200: 550.92 ps
NOR-2201: 550.92 ps
NOR-2204: 524.804 ps
NOR-2205: 524.804 ps
NOR-2206: 524.804 ps
NOR-2209: 498.687 ps
NOR-2210: 498.687 ps
NOR-2211: 498.687 ps
NOR-2214: 498.622 ps
NOR-2217: 587.924 ps
NOR-2221: 705.01 ps
NOR-2222: 705.01 ps
NOR-2223: 4766.34 ps
NOR-2224: 785.97 ps
NOR-2227: 759.854 ps
NOR-2230: 733.737 ps
NOR-2233: 707.62 ps
NOR-2236: 681.504 ps
NOR-2239: 655.387 ps
NOR-2242: 629.27 ps
NOR-2245: 603.154 ps
NOR-2248: 577.037 ps
NOR-2251: 550.92 ps
NOR-2254: 524.804 ps
NOR-2257: 498.687 ps
NOR-2260: 498.622 ps
NOR-2264: 587.924 ps
NOR-2265: 587.924 ps
NOR-2266: 705.01 ps
NOR-2269: 785.97 ps
NOR-2273: 759.854 ps
NOR-2277: 733.737 ps
NOR-2281: 707.62 ps
NOR-2285: 681.504 ps
NOR-2289: 655.387 ps
NOR-2293: 629.27 ps
NOR-2297: 603.154 ps
NOR-2301: 577.037 ps
NOR-2305: 550.92 ps
NOR-2309: 524.804 ps
NOR-2313: 498.687 ps
NOR-2317: 498.622 ps
NOR-2318: 498.622 ps
NOR-2319: 587.924 ps
NOR-2322: 705.01 ps
NOR-2326: 785.97 ps
NOR-2327: 785.97 ps
NOR-2328: 759.854 ps
NOR-2329: 759.854 ps
NOR-2330: 733.737 ps
NOR-2331: 733.737 ps
NOR-2332: 707.62 ps
NOR-2333: 707.62 ps
NOR-2334: 681.504 ps
NOR-2335: 681.504 ps
NOR-2336: 655.387 ps
NOR-2337: 655.387 ps
NOR-2338: 629.27 ps
NOR-2339: 629.27 ps
NOR-2340: 603.154 ps
NOR-2341: 603.154 ps
NOR-2342: 577.037 ps
NOR-2343: 577.037 ps
NOR-2344: 550.92 ps
NOR-2345: 550.92 ps
NOR-2346: 524.804 ps
NOR-2347: 524.804 ps
NOR-2348: 498.687 ps
NOR-2349: 498.687 ps
NOR-2350: 498.622 ps
NOR-2353: 587.924 ps
NOR-2357: 705.01 ps
NOR-2358: 705.01 ps
NOR-2359: 822.169 ps
NOR-2362: 785.97 ps
NOR-2365: 759.854 ps
NOR-2368: 733.737 ps
NOR-2371: 707.62 ps
NOR-2374: 681.504 ps
NOR-2377: 655.387 ps
NOR-2380: 629.27 ps
NOR-2383: 603.154 ps
NOR-2386: 577.037 ps
NOR-2389: 550.92 ps
NOR-2392: 524.804 ps
NOR-2395: 498.687 ps
NOR-2398: 498.622 ps
NOR-2402: 587.924 ps
NOR-2403: 587.924 ps
NOR-2404: 705.075 ps
NOR-2407: 705.01 ps
NOR-2410: 822.169 ps
NOR-2414: 785.97 ps
NOR-2418: 759.854 ps
NOR-2422: 733.737 ps
NOR-2426: 707.62 ps
NOR-2430: 681.504 ps
NOR-2434: 655.387 ps
NOR-2438: 629.27 ps
NOR-2442: 603.154 ps
NOR-2446: 577.037 ps
NOR-2450: 550.92 ps
NOR-2454: 524.804 ps
NOR-2458: 498.687 ps
NOR-2462: 498.622 ps
NOR-2463: 498.622 ps
NOR-2464: 587.989 ps
NOR-2467: 587.924 ps
NOR-2470: 705.01 ps
NOR-2474: 822.169 ps
NOR-2475: 822.169 ps
NOR-2476: 4532.02 ps
NOR-2477: 4532.02 ps
NOR-2478: 785.97 ps
NOR-2481: 759.854 ps
NOR-2482: 759.854 ps
NOR-2483: 759.854 ps
NOR-2486: 733.737 ps
NOR-2487: 733.737 ps
NOR-2488: 733.737 ps
NOR-2491: 707.62 ps
NOR-2492: 707.62 ps
NOR-2493: 707.62 ps
NOR-2496: 681.504 ps
NOR-2497: 681.504 ps
NOR-2498: 681.504 ps
NOR-2501: 655.387 ps
NOR-2502: 655.387 ps
NOR-2503: 655.387 ps
NOR-2506: 629.27 ps
NOR-2507: 629.27 ps
NOR-2508: 629.27 ps
NOR-2511: 603.154 ps
NOR-2512: 603.154 ps
NOR-2513: 603.154 ps
NOR-2516: 577.037 ps
NOR-2517: 577.037 ps
NOR-2518: 577.037 ps
NOR-2521: 550.92 ps
NOR-2522: 550.92 ps
NOR-2523: 550.92 ps
NOR-2526: 524.804 ps
NOR-2527: 524.804 ps
NOR-2528: 524.804 ps
NOR-2531: 498.687 ps
NOR-2532: 498.687 ps
NOR-2533: 498.687 ps
NOR-2536: 498.622 ps
NOR-2539: 587.924 ps
NOR-2543: 705.01 ps
NOR-2544: 705.01 ps
NOR-2545: 822.169 ps
NOR-2548: 4532.02 ps
NOR-2549: 759.854 ps
NOR-2552: 733.737 ps
NOR-2555: 707.62 ps
NOR-2558: 681.504 ps
NOR-2561: 655.387 ps
NOR-2564: 629.27 ps
NOR-2567: 603.154 ps
NOR-2570: 577.037 ps
NOR-2573: 550.92 ps
NOR-2576: 524.804 ps
NOR-2579: 498.687 ps
NOR-2582: 498.622 ps
NOR-2586: 587.924 ps
NOR-2587: 587.924 ps
NOR-2588: 705.01 ps
NOR-2591: 822.169 ps
NOR-2595: 759.854 ps
NOR-2599: 733.737 ps
NOR-2603: 707.62 ps
NOR-2607: 681.504 ps
NOR-2611: 655.387 ps
NOR-2615: 629.27 ps
NOR-2619: 603.154 ps
NOR-2623: 577.037 ps
NOR-2627: 550.92 ps
NOR-2631: 524.804 ps
NOR-2635: 498.687 ps
NOR-2639: 498.622 ps
NOR-2640: 498.622 ps
NOR-2641: 587.924 ps
NOR-2644: 705.01 ps
NOR-2648: 822.169 ps
NOR-2649: 822.169 ps
NOR-2650: 939.329 ps
NOR-2653: 759.854 ps
NOR-2654: 759.854 ps
NOR-2655: 733.737 ps
NOR-2656: 733.737 ps
NOR-2657: 707.62 ps
NOR-2658: 707.62 ps
NOR-2659: 681.504 ps
NOR-2660: 681.504 ps
NOR-2661: 655.387 ps
NOR-2662: 655.387 ps
NOR-2663: 629.27 ps
NOR-2664: 629.27 ps
NOR-2665: 603.154 ps
NOR-2666: 603.154 ps
NOR-2667: 577.037 ps
NOR-2668: 577.037 ps
NOR-2669: 550.92 ps
NOR-2670: 550.92 ps
NOR-2671: 524.804 ps
NOR-2672: 524.804 ps
NOR-2673: 498.687 ps
NOR-2674: 498.687 ps
NOR-2675: 498.622 ps
NOR-2678: 587.924 ps
NOR-2682: 705.01 ps
NOR-2683: 705.01 ps
NOR-2684: 822.234 ps
NOR-2687: 822.169 ps
NOR-2690: 939.329 ps
NOR-2694: 759.854 ps
NOR-2697: 733.737 ps
NOR-2700: 707.62 ps
NOR-2703: 681.504 ps
NOR-2706: 655.387 ps
NOR-2709: 629.27 ps
NOR-2712: 603.154 ps
NOR-2715: 577.037 ps
NOR-2718: 550.92 ps
NOR-2721: 524.804 ps
NOR-2724: 498.687 ps
NOR-2727: 498.622 ps
NOR-2731: 587.924 ps
