Circuit delay: 2230 ps

Gate slacks:
INPUT-INSTQUEUE_REG_9__4__SCAN_IN: 642.249 ps
INPUT-INSTQUEUE_REG_9__3__SCAN_IN: 466.108 ps
INPUT-INSTQUEUE_REG_9__2__SCAN_IN: 627.358 ps
INPUT-INSTQUEUE_REG_9__1__SCAN_IN: 454.652 ps
INPUT-INSTQUEUE_REG_9__0__SCAN_IN: 652.236 ps
INPUT-INSTQUEUE_REG_8__7__SCAN_IN: 623.298 ps
INPUT-INSTQUEUE_REG_8__6__SCAN_IN: 673.741 ps
INPUT-INSTQUEUE_REG_8__5__SCAN_IN: 600.394 ps
INPUT-INSTQUEUE_REG_8__4__SCAN_IN: 642.249 ps
INPUT-INSTQUEUE_REG_8__3__SCAN_IN: 466.143 ps
INPUT-INSTQUEUE_REG_8__2__SCAN_IN: 627.334 ps
INPUT-INSTQUEUE_REG_8__1__SCAN_IN: 454.612 ps
INPUT-INSTQUEUE_REG_8__0__SCAN_IN: 652.197 ps
INPUT-INSTQUEUE_REG_7__7__SCAN_IN: 625.984 ps
INPUT-INSTQUEUE_REG_7__6__SCAN_IN: 653.679 ps
INPUT-INSTQUEUE_REG_7__5__SCAN_IN: 580.857 ps
INPUT-INSTQUEUE_REG_7__4__SCAN_IN: 622.19 ps
INPUT-INSTQUEUE_REG_7__3__SCAN_IN: 446.57 ps
INPUT-INSTQUEUE_REG_7__2__SCAN_IN: 629.994 ps
INPUT-INSTQUEUE_REG_7__1__SCAN_IN: 457.289 ps
INPUT-INSTQUEUE_REG_7__0__SCAN_IN: 654.873 ps
INPUT-INSTQUEUE_REG_6__7__SCAN_IN: 623.298 ps
INPUT-INSTQUEUE_REG_6__6__SCAN_IN: 673.741 ps
INPUT-INSTQUEUE_REG_6__5__SCAN_IN: 600.395 ps
INPUT-INSTQUEUE_REG_6__4__SCAN_IN: 642.249 ps
INPUT-INSTQUEUE_REG_6__3__SCAN_IN: 466.108 ps
INPUT-INSTQUEUE_REG_6__2__SCAN_IN: 627.334 ps
INPUT-INSTQUEUE_REG_6__1__SCAN_IN: 454.612 ps
INPUT-INSTQUEUE_REG_6__0__SCAN_IN: 652.197 ps
INPUT-INSTQUEUE_REG_5__7__SCAN_IN: 626.051 ps
INPUT-INSTQUEUE_REG_5__6__SCAN_IN: 652.856 ps
INPUT-INSTQUEUE_REG_5__5__SCAN_IN: 580.034 ps
INPUT-INSTQUEUE_REG_5__4__SCAN_IN: 621.905 ps
INPUT-INSTQUEUE_REG_5__3__SCAN_IN: 468.812 ps
INPUT-INSTQUEUE_REG_5__2__SCAN_IN: 630.062 ps
INPUT-INSTQUEUE_REG_5__1__SCAN_IN: 457.357 ps
INPUT-INSTQUEUE_REG_5__0__SCAN_IN: 654.941 ps
INPUT-INSTQUEUE_REG_4__7__SCAN_IN: 619.839 ps
INPUT-INSTQUEUE_REG_4__6__SCAN_IN: 675.534 ps
INPUT-INSTQUEUE_REG_4__5__SCAN_IN: 602.167 ps
INPUT-INSTQUEUE_REG_4__4__SCAN_IN: 630.561 ps
INPUT-INSTQUEUE_REG_4__3__SCAN_IN: 467.915 ps
INPUT-INSTQUEUE_REG_4__2__SCAN_IN: 629.106 ps
INPUT-INSTQUEUE_REG_4__1__SCAN_IN: 456.384 ps
INPUT-INSTQUEUE_REG_4__0__SCAN_IN: 653.969 ps
INPUT-INSTQUEUE_REG_3__7__SCAN_IN: 627.923 ps
INPUT-INSTQUEUE_REG_3__6__SCAN_IN: 678.373 ps
INPUT-INSTQUEUE_REG_3__5__SCAN_IN: 605.005 ps
INPUT-INSTQUEUE_REG_3__4__SCAN_IN: 646.86 ps
INPUT-INSTQUEUE_REG_3__3__SCAN_IN: 470.719 ps
INPUT-INSTQUEUE_REG_3__2__SCAN_IN: 631.945 ps
INPUT-INSTQUEUE_REG_3__1__SCAN_IN: 459.223 ps
INPUT-INSTQUEUE_REG_3__0__SCAN_IN: 656.808 ps
INPUT-INSTQUEUE_REG_2__7__SCAN_IN: 624.18 ps
INPUT-INSTQUEUE_REG_2__6__SCAN_IN: 674.602 ps
INPUT-INSTQUEUE_REG_2__5__SCAN_IN: 601.234 ps
INPUT-INSTQUEUE_REG_2__4__SCAN_IN: 643.088 ps
INPUT-INSTQUEUE_REG_2__3__SCAN_IN: 445.715 ps
INPUT-INSTQUEUE_REG_2__2__SCAN_IN: 628.197 ps
INPUT-INSTQUEUE_REG_2__1__SCAN_IN: 455.492 ps
INPUT-INSTQUEUE_REG_2__0__SCAN_IN: 653.076 ps
INPUT-INSTQUEUE_REG_1__7__SCAN_IN: 608.399 ps
INPUT-INSTQUEUE_REG_1__6__SCAN_IN: 659.233 ps
INPUT-INSTQUEUE_REG_1__5__SCAN_IN: 585.891 ps
INPUT-INSTQUEUE_REG_1__4__SCAN_IN: 627.744 ps
INPUT-INSTQUEUE_REG_1__3__SCAN_IN: 451.225 ps
INPUT-INSTQUEUE_REG_1__2__SCAN_IN: 612.829 ps
INPUT-INSTQUEUE_REG_1__1__SCAN_IN: 462.383 ps
INPUT-INSTQUEUE_REG_1__0__SCAN_IN: 659.967 ps
INPUT-INSTQUEUE_REG_0__7__SCAN_IN: 623.148 ps
INPUT-INSTQUEUE_REG_0__6__SCAN_IN: 674.594 ps
INPUT-INSTQUEUE_REG_0__5__SCAN_IN: 592.105 ps
INPUT-INSTQUEUE_REG_0__4__SCAN_IN: 643.119 ps
INPUT-INSTQUEUE_REG_0__3__SCAN_IN: 466.961 ps
INPUT-INSTQUEUE_REG_0__2__SCAN_IN: 627.666 ps
INPUT-INSTQUEUE_REG_0__1__SCAN_IN: 455.536 ps
INPUT-INSTQUEUE_REG_0__0__SCAN_IN: 653.119 ps
INPUT-INSTQUEUERD_ADDR_REG_4__SCAN_IN: 1467.75 ps
INPUT-INSTQUEUERD_ADDR_REG_3__SCAN_IN: 223 ps
INPUT-INSTQUEUERD_ADDR_REG_2__SCAN_IN: 253.288 ps
INPUT-INSTQUEUERD_ADDR_REG_1__SCAN_IN: 257.555 ps
INPUT-INSTQUEUERD_ADDR_REG_0__SCAN_IN: 231.652 ps
INPUT-INSTQUEUEWR_ADDR_REG_4__SCAN_IN: 1445.17 ps
INPUT-INSTQUEUEWR_ADDR_REG_3__SCAN_IN: 1277.42 ps
INPUT-INSTQUEUEWR_ADDR_REG_2__SCAN_IN: 1245.04 ps
INPUT-INSTQUEUEWR_ADDR_REG_1__SCAN_IN: 1209.07 ps
INPUT-INSTQUEUEWR_ADDR_REG_0__SCAN_IN: 1209.07 ps
INPUT-INSTADDRPOINTER_REG_0__SCAN_IN: 1576.66 ps
INPUT-INSTADDRPOINTER_REG_1__SCAN_IN: 1424.62 ps
INPUT-INSTADDRPOINTER_REG_2__SCAN_IN: 1424.62 ps
INPUT-INSTADDRPOINTER_REG_3__SCAN_IN: 1467.09 ps
INPUT-INSTADDRPOINTER_REG_4__SCAN_IN: 1501.98 ps
INPUT-INSTADDRPOINTER_REG_5__SCAN_IN: 1539.1 ps
INPUT-INSTADDRPOINTER_REG_6__SCAN_IN: 1573.8 ps
INPUT-INSTADDRPOINTER_REG_7__SCAN_IN: 1610.92 ps
INPUT-INSTADDRPOINTER_REG_8__SCAN_IN: 1645.62 ps
INPUT-INSTADDRPOINTER_REG_9__SCAN_IN: 1688.49 ps
INPUT-INSTADDRPOINTER_REG_10__SCAN_IN: 1688.49 ps
INPUT-INSTADDRPOINTER_REG_11__SCAN_IN: 1742.47 ps
INPUT-INSTADDRPOINTER_REG_12__SCAN_IN: 1742.47 ps
INPUT-INSTADDRPOINTER_REG_13__SCAN_IN: 1790.64 ps
INPUT-INSTADDRPOINTER_REG_14__SCAN_IN: 1825.39 ps
INPUT-INSTADDRPOINTER_REG_15__SCAN_IN: 1868.25 ps
INPUT-INSTADDRPOINTER_REG_16__SCAN_IN: 1868.25 ps
INPUT-INSTADDRPOINTER_REG_17__SCAN_IN: 1892.63 ps
INPUT-INSTADDRPOINTER_REG_18__SCAN_IN: 1892.69 ps
INPUT-INSTADDRPOINTER_REG_19__SCAN_IN: 1895.77 ps
INPUT-INSTADDRPOINTER_REG_20__SCAN_IN: 1959.84 ps
INPUT-INSTADDRPOINTER_REG_21__SCAN_IN: 1962.64 ps
INPUT-INSTADDRPOINTER_REG_22__SCAN_IN: 1964.8 ps
INPUT-INSTADDRPOINTER_REG_23__SCAN_IN: 1957.04 ps
INPUT-INSTADDRPOINTER_REG_24__SCAN_IN: 1964.86 ps
INPUT-INSTADDRPOINTER_REG_25__SCAN_IN: 2072.43 ps
INPUT-INSTADDRPOINTER_REG_26__SCAN_IN: 2080.52 ps
INPUT-INSTADDRPOINTER_REG_27__SCAN_IN: 2097.42 ps
INPUT-INSTADDRPOINTER_REG_28__SCAN_IN: 2097.42 ps
INPUT-INSTADDRPOINTER_REG_29__SCAN_IN: 2133.1 ps
INPUT-INSTADDRPOINTER_REG_30__SCAN_IN: 2176.51 ps
INPUT-INSTADDRPOINTER_REG_31__SCAN_IN: 2254.28 ps
INPUT-PHYADDRPOINTER_REG_0__SCAN_IN: 1773.28 ps
INPUT-PHYADDRPOINTER_REG_1__SCAN_IN: 1081.1 ps
INPUT-PHYADDRPOINTER_REG_2__SCAN_IN: 1081.1 ps
INPUT-PHYADDRPOINTER_REG_3__SCAN_IN: 1121.09 ps
INPUT-PHYADDRPOINTER_REG_4__SCAN_IN: 1123.84 ps
INPUT-PHYADDRPOINTER_REG_5__SCAN_IN: 1194.37 ps
INPUT-PHYADDRPOINTER_REG_6__SCAN_IN: 1198.91 ps
INPUT-PHYADDRPOINTER_REG_7__SCAN_IN: 1265.04 ps
INPUT-PHYADDRPOINTER_REG_8__SCAN_IN: 1269.13 ps
INPUT-PHYADDRPOINTER_REG_9__SCAN_IN: 1335.26 ps
INPUT-PHYADDRPOINTER_REG_10__SCAN_IN: 1336.16 ps
INPUT-PHYADDRPOINTER_REG_11__SCAN_IN: 1407.17 ps
INPUT-PHYADDRPOINTER_REG_12__SCAN_IN: 1431.21 ps
INPUT-PHYADDRPOINTER_REG_13__SCAN_IN: 1415.89 ps
INPUT-PHYADDRPOINTER_REG_14__SCAN_IN: 1412.72 ps
INPUT-PHYADDRPOINTER_REG_15__SCAN_IN: 1431.21 ps
INPUT-PHYADDRPOINTER_REG_16__SCAN_IN: 1431.21 ps
INPUT-PHYADDRPOINTER_REG_17__SCAN_IN: 1547.69 ps
INPUT-PHYADDRPOINTER_REG_18__SCAN_IN: 1547.04 ps
INPUT-PHYADDRPOINTER_REG_19__SCAN_IN: 1574.42 ps
INPUT-PHYADDRPOINTER_REG_20__SCAN_IN: 1578.02 ps
INPUT-PHYADDRPOINTER_REG_21__SCAN_IN: 1636.87 ps
INPUT-PHYADDRPOINTER_REG_22__SCAN_IN: 1627.12 ps
INPUT-PHYADDRPOINTER_REG_23__SCAN_IN: 1675.9 ps
INPUT-PHYADDRPOINTER_REG_24__SCAN_IN: 1675.9 ps
INPUT-PHYADDRPOINTER_REG_25__SCAN_IN: 1682.2 ps
INPUT-PHYADDRPOINTER_REG_26__SCAN_IN: 1728.57 ps
INPUT-PHYADDRPOINTER_REG_27__SCAN_IN: 1731.51 ps
INPUT-PHYADDRPOINTER_REG_28__SCAN_IN: 1773.06 ps
INPUT-PHYADDRPOINTER_REG_29__SCAN_IN: 1833.71 ps
INPUT-PHYADDRPOINTER_REG_30__SCAN_IN: 1877.55 ps
INPUT-PHYADDRPOINTER_REG_31__SCAN_IN: 1894.43 ps
INPUT-LWORD_REG_15__SCAN_IN: 2388.18 ps
INPUT-LWORD_REG_14__SCAN_IN: 2388.18 ps
INPUT-LWORD_REG_13__SCAN_IN: 2388.18 ps
INPUT-LWORD_REG_12__SCAN_IN: 2388.18 ps
INPUT-LWORD_REG_11__SCAN_IN: 2388.18 ps
INPUT-LWORD_REG_10__SCAN_IN: 2388.18 ps
INPUT-LWORD_REG_9__SCAN_IN: 2388.18 ps
INPUT-LWORD_REG_8__SCAN_IN: 2388.18 ps
INPUT-LWORD_REG_7__SCAN_IN: 2388.18 ps
INPUT-LWORD_REG_6__SCAN_IN: 2388.18 ps
INPUT-LWORD_REG_5__SCAN_IN: 2388.18 ps
INPUT-LWORD_REG_4__SCAN_IN: 2388.18 ps
INPUT-LWORD_REG_3__SCAN_IN: 2388.18 ps
INPUT-LWORD_REG_2__SCAN_IN: 2388.18 ps
INPUT-LWORD_REG_1__SCAN_IN: 2388.18 ps
INPUT-LWORD_REG_0__SCAN_IN: 2388.18 ps
INPUT-UWORD_REG_14__SCAN_IN: 2388.18 ps
INPUT-UWORD_REG_13__SCAN_IN: 2388.18 ps
INPUT-UWORD_REG_12__SCAN_IN: 2388.18 ps
INPUT-UWORD_REG_11__SCAN_IN: 2388.18 ps
INPUT-UWORD_REG_10__SCAN_IN: 2388.18 ps
INPUT-UWORD_REG_9__SCAN_IN: 2388.18 ps
INPUT-UWORD_REG_8__SCAN_IN: 2388.18 ps
INPUT-UWORD_REG_7__SCAN_IN: 2388.18 ps
INPUT-UWORD_REG_6__SCAN_IN: 2388.18 ps
INPUT-UWORD_REG_5__SCAN_IN: 2388.18 ps
INPUT-UWORD_REG_4__SCAN_IN: 2388.18 ps
INPUT-UWORD_REG_3__SCAN_IN: 2388.18 ps
INPUT-UWORD_REG_2__SCAN_IN: 2388.18 ps
INPUT-UWORD_REG_1__SCAN_IN: 2388.18 ps
INPUT-UWORD_REG_0__SCAN_IN: 2388.18 ps
INPUT-DATAO_REG_0__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_1__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_2__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_3__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_4__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_5__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_6__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_7__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_8__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_9__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_10__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_11__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_12__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_13__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_14__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_15__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_16__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_17__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_18__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_19__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_20__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_21__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_22__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_23__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_24__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_25__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_26__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_27__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_28__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_29__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_30__SCAN_IN: 2388.02 ps
INPUT-DATAO_REG_31__SCAN_IN: 2411.87 ps
INPUT-EAX_REG_0__SCAN_IN: 1758.27 ps
INPUT-EAX_REG_1__SCAN_IN: 1716.93 ps
INPUT-EAX_REG_2__SCAN_IN: 1713.88 ps
INPUT-EAX_REG_3__SCAN_IN: 1756.18 ps
INPUT-EAX_REG_4__SCAN_IN: 1839.56 ps
INPUT-EAX_REG_5__SCAN_IN: 1848.82 ps
INPUT-EAX_REG_6__SCAN_IN: 1882.73 ps
INPUT-EAX_REG_7__SCAN_IN: 1872.96 ps
INPUT-EAX_REG_8__SCAN_IN: 1901.61 ps
INPUT-EAX_REG_9__SCAN_IN: 1914.44 ps
INPUT-EAX_REG_10__SCAN_IN: 1921.25 ps
INPUT-EAX_REG_11__SCAN_IN: 1896.33 ps
INPUT-EAX_REG_12__SCAN_IN: 1872.08 ps
INPUT-EAX_REG_13__SCAN_IN: 1872.99 ps
INPUT-EAX_REG_14__SCAN_IN: 1867.82 ps
INPUT-EAX_REG_15__SCAN_IN: 1893.15 ps
INPUT-EAX_REG_16__SCAN_IN: 1847.09 ps
INPUT-EAX_REG_17__SCAN_IN: 1910.38 ps
INPUT-EAX_REG_18__SCAN_IN: 1927.56 ps
INPUT-EAX_REG_19__SCAN_IN: 1925.54 ps
INPUT-EAX_REG_20__SCAN_IN: 1932.35 ps
INPUT-EAX_REG_21__SCAN_IN: 1938.72 ps
INPUT-EAX_REG_22__SCAN_IN: 1912.74 ps
INPUT-EAX_REG_23__SCAN_IN: 1935.25 ps
INPUT-EAX_REG_24__SCAN_IN: 1937.51 ps
INPUT-EAX_REG_25__SCAN_IN: 1930.23 ps
INPUT-EAX_REG_26__SCAN_IN: 1950.72 ps
INPUT-EAX_REG_27__SCAN_IN: 2052.83 ps
INPUT-EAX_REG_28__SCAN_IN: 1977.42 ps
INPUT-EAX_REG_29__SCAN_IN: 2066.26 ps
